amount_digits,amount_words,bank,company_name,date_created,date_due,drawer_name,payer_name_address,place_created,rib,barcode_validates_traite,barcode_matches_traite,signature_detected,traite_num,fraud_label
4070.053,quatre mille soixante-dix dinars zéro zéro cinq trois,Hubert Joly et Fils,Traore SARL,26/01/2025,16/02/2025,Yves Traore,"10, rue Rey 64716 Saint Michelle",Humbert-sur-Mer,88672946077240567264,True,True,True,646174432554,0
7623.213,sept mille six cent vingt-trois dinars zéro deux un trois,Meyer,Rocher Briand SARL,08/09/2024,10/09/2024,Jean de Morin,chemin Josette Aubry 06847 RegnierBourg,Chevalier-la-Forêt,89826833698126898029,True,True,True,690757033266,0
6235.78,six mille deux cent trente-cinq dinars zéro sept huit,Leleu Charpentier SA,Fischer Muller SA,18/01/2025,29/03/2025,Benoît Gillet-Lopes,"62, rue Marguerite Da Costa 89799 Saint Élisabeth-sur-Mer",Pinto,79031088269423843293,True,True,True,297982492151,0
9212.463,neuf mille deux cent douze dinars zéro quatre six trois,David Gomes S.A.R.L.,Pottier Germain SA,17/05/2025,23/05/2025,Arthur-Franck Duhamel,"86, chemin Joly 31862 Tanguy-la-Forêt",Gilbert-sur-Guillon,74114610116016007049,True,True,True,396852403351,0
2611.708,deux mille six cent onze dinars zéro sept zéro huit,Masson S.A.,Robin,16/08/2024,08/10/2024,Zacharie Briand,"89, chemin de Lenoir 02796 Sainte Paulineboeuf",Sainte Bernadette-les-Bains,22311164113893207951,True,True,True,1948728483,0
3479.03,trois mille quatre cent soixante-dix-neuf dinars zéro zéro trois,Guillou Gautier et Fils,Charrier,27/02/2025,23/05/2025,Timothée Guillou de la Brunet,"680, rue Frédéric Étienne 39345 Saint Hélène",Saint Nathdan,18397795172192339867,True,True,True,76519237216,0
8056.459,huit mille cinquante-six dinars zéro quatre cinq neuf,Aubry Evrard S.A.S.,Rodriguez Delmas S.A.R.L.,14/03/2025,04/05/2025,Frédérique Gimenez,"66, boulevard Catherine Mathieu 31330 Sainte Alphonse-sur-Mer",Vasseur-sur-Robert,78713938046257676720,True,True,True,777693993558,0
9578.397,neuf mille cinq cent soixante-dix-huit dinars zéro trois neuf sept,Buisson S.A.,Mercier David SARL,23/01/2025,03/02/2025,Xavier-Patrick Benoit,"497, avenue Laurent Gauthier 13774 Monniernec",BigotVille,43217936128711911861,True,True,True,720151617123,0
7162.474,sept mille cent soixante-deux dinars zéro quatre sept quatre,Nicolas,Antoine et Fils,28/01/2025,16/02/2025,Étienne Aubert-Regnier,"52, rue Denis Pichon 70200 Saint Éric",Brun,58196580182472777136,True,True,True,534321479802,0
831.26,huit cent trente et un dinars zéro deux six,Gillet Bernard S.A.R.L.,Lopez,25/11/2024,05/01/2025,Michel-Guy Briand,"44, boulevard Guyon 69162 Boyer",Sainte Constance,72306411879179345339,True,True,True,940251608167,0
